Employee_No,Attrition,Gender,Age,Education,Education_Field,Marital_Status,Department,Job_Role,Job_Level,Distance_From_Home,Business_Travel,Hourly_Rate,Daily_Rate,Monthly_Rate,Monthly_Income,Percent_Salary_Hike,Job_Involvement,Performance_Rating,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Over_Time,Stock_Option_Level,No_Companies_Worked,Total_Working_Years,Training_Times_LastYear,Years_At_Company,Years_In_Current_Role,Years_Since_LastPromotion,Years_with_Curr_Manager
259,No,Male,52 and more than 52,Master,Life Sciences,Married,Research & Development,Manager,5,1 - 9 km,Travel_Rarely,65,699,5678,19999,14,Medium,Excellent,High,High,Low,Better,No,1,0,More than 31 years,5,More than 31 years,16 - 20 years,11 - 15 Years,6 - 10 years
260,No,Female,Between 25 to 31,Bachelor,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,99,894,11781,2279,16,High,Excellent,Very High,Medium,Very High,Good,No,0,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
261,Yes,Male,Between 32 to 38,College,Life Sciences,Married,Research & Development,Manufacturing Director,2,20 - 30 km,Travel_Rarely,50,556,15497,5916,13,Medium,Excellent,Medium,High,Low,Better,Yes,0,3,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
262,No,Male,Between 39 to 44,Bachelor,Medical,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Non-Travel,37,1344,5228,2089,14,Very High,Excellent,Very High,Very High,Very High,Best,No,3,4,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
264,No,Male,Between 45 to 51,College,Medical,Married,Research & Development,Manager,4,1 - 9 km,Non-Travel,65,1195,20462,16792,23,Medium,Outstanding,Low,Very High,Very High,Better,No,1,9,21 - 30 years,1,11 - 20 years,6 - 10 years,11 - 15 Years,6 - 10 years
267,No,Male,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,20 - 30 km,Travel_Rarely,65,290,22977,3564,12,Very High,Excellent,Medium,Low,Low,Good,Yes,1,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
269,No,Female,Between 32 to 38,Bachelor,Medical,Single,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Frequently,37,138,15986,4425,11,High,Excellent,Medium,Medium,Very High,Better,No,0,5,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
270,No,Female,Between 39 to 44,College,Medical,Divorced,Research & Development,Manufacturing Director,2,20 - 30 km,Non-Travel,36,926,16439,5265,16,High,Excellent,High,High,Medium,Better,No,1,2,11 - 20 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
271,No,Male,Between 32 to 38,Master,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,88,1261,7259,6553,14,High,Excellent,Very High,High,Medium,Better,No,0,9,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
273,No,Male,Between 32 to 38,Bachelor,Technical Degree,Married,Research & Development,Manufacturing Director,2,20 - 30 km,Travel_Rarely,54,1084,4185,6261,18,High,Excellent,Very High,Very High,Low,Bad,No,1,3,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
274,No,Male,Between 25 to 31,Below college,Technical Degree,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Frequently,60,472,9679,4298,19,Medium,Excellent,High,Low,High,Better,No,1,5,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
275,No,Male,Between 45 to 51,Master,Life Sciences,Divorced,Research & Development,Manufacturing Director,2,10 - 19 km,Non-Travel,92,1002,23793,6804,15,High,Excellent,Very High,Very High,Low,Better,Yes,2,1,0 - 10 years,0,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
277,No,Male,Between 32 to 38,Master,Medical,Divorced,Research & Development,Research Scientist,1,10 - 19 km,Travel_Frequently,43,878,5972,3815,17,High,Excellent,Very High,High,Very High,Best,Yes,1,1,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
281,No,Male,Between 39 to 44,College,Medical,Married,Research & Development,Laboratory Technician,2,10 - 19 km,Travel_Rarely,99,905,16523,2741,15,High,Excellent,High,Very High,High,Best,Yes,1,8,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
282,Yes,Male,Between 32 to 38,Below college,Medical,Married,Research & Development,Healthcare Representative,2,20 - 30 km,Travel_Rarely,70,1180,11354,6673,19,High,Excellent,Medium,Low,Medium,Better,Yes,0,7,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
283,Yes,Female,Between 25 to 31,Bachelor,Marketing,Married,Sales,Sales Executive,3,20 - 30 km,Travel_Rarely,35,121,24525,7639,22,High,Outstanding,Medium,Very High,Very High,Good,No,3,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
284,No,Male,Between 18 to 24,Bachelor,Life Sciences,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,60,1136,12392,2328,16,Very High,Excellent,Very High,Medium,Low,Good,Yes,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
286,No,Female,Between 32 to 38,Below college,Medical,Single,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Frequently,73,635,7703,2153,13,High,Excellent,Medium,Very High,Low,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
287,No,Male,Between 39 to 44,Doctor,Life Sciences,Married,Research & Development,Healthcare Representative,2,1 - 9 km,Non-Travel,63,1151,14242,4876,14,Medium,Excellent,Very High,Very High,Very High,Bad,No,1,9,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
288,No,Male,Between 45 to 51,Master,Medical,Divorced,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Rarely,97,644,12368,9396,16,High,Excellent,Very High,Low,High,Better,No,1,7,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
291,Yes,Male,Between 32 to 38,Master,Medical,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,32,1045,25812,10400,11,Low,Excellent,Very High,Very High,High,Good,No,0,1,11 - 20 years,2,11 - 20 years,6 - 10 years,6 - 10 years,6 - 10 years
292,No,Male,Between 25 to 31,Below college,Life Sciences,Single,Research & Development,Manufacturing Director,3,1 - 9 km,Non-Travel,88,829,20925,8474,22,Medium,Outstanding,High,High,High,Better,No,0,1,11 - 20 years,2,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
293,No,Female,Between 25 to 31,Bachelor,Life Sciences,Single,Sales,Sales Executive,2,20 - 30 km,Travel_Frequently,90,1242,12916,9981,14,High,Excellent,Very High,High,Very High,Better,No,0,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
296,No,Male,Between 45 to 51,Master,Life Sciences,Married,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,81,1469,15736,12490,16,Medium,Excellent,Medium,Medium,Very High,Bad,No,2,5,11 - 20 years,5,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
297,Yes,Female,Between 25 to 31,Bachelor,Technical Degree,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,88,1005,8556,2657,11,High,Excellent,Very High,Low,High,Better,Yes,0,5,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
298,No,Female,Between 39 to 44,Bachelor,Life Sciences,Single,Sales,Manager,3,1 - 9 km,Travel_Rarely,75,896,14674,13591,18,High,Excellent,Very High,Very High,High,Better,Yes,0,3,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
299,Yes,Female,Between 25 to 31,Master,Marketing,Single,Sales,Sales Executive,2,20 - 30 km,Travel_Frequently,52,334,22967,6696,15,Medium,Excellent,High,Low,High,Good,No,0,5,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
300,Yes,Male,Between 25 to 31,Bachelor,Technical Degree,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,85,992,19757,2058,14,High,Excellent,High,High,Very High,Good,No,0,0,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
302,No,Female,Between 45 to 51,Bachelor,Medical,Single,Sales,Sales Executive,3,1 - 9 km,Non-Travel,57,1052,16840,8865,12,Medium,Excellent,Very High,Very High,Very High,Better,No,0,6,21 - 30 years,2,11 - 20 years,6 - 10 years,11 - 15 Years,6 - 10 years
303,No,Female,52 and more than 52,Bachelor,Marketing,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,52,1147,17011,5940,14,High,Excellent,Very High,Low,Very High,Better,No,1,2,11 - 20 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
304,No,Male,Between 32 to 38,College,Life Sciences,Single,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Rarely,62,1396,9945,5914,16,High,Excellent,Very High,Medium,Very High,Best,No,0,8,11 - 20 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
305,No,Female,Between 32 to 38,Master,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,47,147,13248,2622,21,Medium,Outstanding,High,Medium,Very High,Better,No,0,6,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
306,No,Male,Between 32 to 38,Bachelor,Other,Divorced,Research & Development,Research Director,3,10 - 19 km,Travel_Frequently,47,663,10056,12185,14,High,Excellent,Medium,Very High,High,Better,Yes,3,1,0 - 10 years,1,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
307,No,Male,Between 32 to 38,Bachelor,Life Sciences,Divorced,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,76,119,9647,10609,12,High,Excellent,Low,High,High,Good,No,2,0,11 - 20 years,6,11 - 20 years,6 - 10 years,0 - 5 years,11 - 15 years
308,No,Male,Between 25 to 31,Master,Medical,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Non-Travel,90,979,4381,4345,12,Low,Excellent,High,High,Very High,Better,No,1,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
309,No,Male,52 and more than 52,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,70,142,8456,2177,17,Medium,Excellent,High,Very High,Low,Better,No,1,3,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
311,No,Male,Between 32 to 38,Master,Marketing,Divorced,Sales,Sales Representative,1,1 - 9 km,Travel_Frequently,41,319,2539,2793,17,High,Excellent,Low,Very High,High,Better,No,1,4,11 - 20 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
312,No,Female,Between 25 to 31,Below college,Medical,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Frequently,42,1413,6599,7918,14,High,Excellent,Medium,Very High,Very High,Better,No,1,1,11 - 20 years,5,11 - 20 years,6 - 10 years,0 - 5 years,0 - 5 years
314,No,Female,Between 32 to 38,Bachelor,Marketing,Single,Sales,Sales Executive,3,1 - 9 km,Travel_Frequently,92,944,9096,8789,14,High,Excellent,High,High,Low,Best,No,0,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
315,Yes,Male,Between 25 to 31,Below college,Medical,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,86,896,14961,2389,13,Medium,Excellent,High,Very High,High,Good,Yes,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
316,No,Female,52 and more than 52,Bachelor,Life Sciences,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,89,1323,3300,3212,15,Medium,Excellent,High,Very High,Medium,Good,No,0,7,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
319,No,Male,Between 39 to 44,College,Technical Degree,Married,Research & Development,Manager,5,1 - 9 km,Travel_Rarely,58,532,4933,19232,11,High,Excellent,High,Very High,Very High,Better,No,0,1,21 - 30 years,3,21 - 30 years,16 - 20 years,11 - 15 Years,11 - 15 years
321,No,Male,52 and more than 52,College,Medical,Married,Human Resources,Human Resources,1,1 - 9 km,Travel_Rarely,52,818,25657,2267,17,High,Excellent,Medium,High,Very High,Good,No,0,8,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
323,No,Female,Between 45 to 51,Master,Medical,Divorced,Sales,Manager,5,1 - 9 km,Travel_Rarely,68,854,24118,19517,11,High,Excellent,Very High,Very High,High,Good,No,1,3,More than 31 years,3,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
325,Yes,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,58,813,22149,2436,13,High,Excellent,High,Very High,High,Bad,Yes,1,5,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
327,No,Female,Between 39 to 44,Bachelor,Marketing,Married,Sales,Manager,4,10 - 19 km,Travel_Rarely,80,1034,7744,16064,22,High,Outstanding,Very High,Very High,High,Better,Yes,1,5,21 - 30 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
328,Yes,Female,Between 32 to 38,College,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,39,465,21509,2707,20,High,Outstanding,Low,Low,Low,Best,No,0,7,11 - 20 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
329,No,Male,52 and more than 52,Master,Life Sciences,Single,Sales,Manager,5,1 - 9 km,Non-Travel,79,771,21030,19068,18,Medium,Excellent,Low,High,Very High,Best,Yes,0,1,More than 31 years,2,More than 31 years,6 - 10 years,11 - 15 Years,11 - 15 years
330,No,Female,Between 32 to 38,College,Life Sciences,Married,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,56,1401,20990,3931,11,High,Excellent,High,Medium,Low,Better,No,1,2,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
331,Yes,Male,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,62,515,9571,3730,14,Medium,Excellent,Very High,High,Very High,Bad,Yes,0,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
332,No,Female,Between 39 to 44,Master,Medical,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,96,1431,15417,2232,14,High,Excellent,High,High,High,Better,No,3,7,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
333,No,Male,Between 32 to 38,Master,Marketing,Married,Sales,Sales Executive,2,20 - 30 km,Non-Travel,100,976,12069,4465,18,High,Excellent,High,Very High,Low,Better,No,0,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
334,No,Male,Between 39 to 44,College,Life Sciences,Divorced,Research & Development,Research Scientist,2,10 - 19 km,Travel_Rarely,36,1411,19877,3072,16,High,Excellent,High,Low,Low,Good,No,2,2,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
335,No,Male,Between 39 to 44,College,Technical Degree,Divorced,Research & Development,Research Scientist,2,20 - 30 km,Travel_Rarely,62,1300,24447,3319,17,High,Excellent,Low,Very High,Low,Better,No,2,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
336,No,Male,Between 45 to 51,Bachelor,Other,Married,Research & Development,Manager,5,1 - 9 km,Travel_Rarely,70,252,15970,19202,11,Very High,Excellent,High,Very High,High,Better,No,1,0,21 - 30 years,2,21 - 30 years,0 - 5 years,0 - 5 years,6 - 10 years
337,No,Male,Between 25 to 31,Master,Medical,Divorced,Research & Development,Research Director,3,1 - 9 km,Travel_Frequently,73,1327,13523,13675,12,High,Excellent,Medium,High,Low,Better,No,1,9,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
338,No,Female,Between 32 to 38,Master,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,63,832,14776,2911,13,Medium,Excellent,High,Very High,High,Good,No,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
339,No,Male,Between 32 to 38,Master,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,84,470,23687,5957,13,Medium,Excellent,Very High,Low,Medium,Better,No,1,6,11 - 20 years,3,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
340,No,Female,Between 32 to 38,College,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,83,1017,18697,3920,14,Medium,Excellent,High,Low,Low,Good,No,1,2,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
341,No,Male,Between 45 to 51,Master,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Frequently,77,1199,5118,6434,17,Very High,Excellent,Low,High,Very High,Better,No,1,4,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
342,Yes,Male,Between 32 to 38,Bachelor,Medical,Divorced,Research & Development,Manufacturing Director,3,10 - 19 km,Travel_Frequently,61,504,22573,10048,11,High,Excellent,Low,High,Medium,Better,No,2,6,11 - 20 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
343,No,Female,Between 39 to 44,Master,Technical Degree,Single,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Frequently,64,505,6420,10938,25,High,Outstanding,High,High,Very High,Better,No,0,0,11 - 20 years,1,11 - 20 years,6 - 10 years,11 - 15 Years,6 - 10 years
346,No,Male,Between 25 to 31,Bachelor,Life Sciences,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,60,665,22673,2340,19,High,Excellent,High,Very High,Low,Better,No,0,1,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
347,No,Female,Between 39 to 44,College,Life Sciences,Single,Research & Development,Research Scientist,2,10 - 19 km,Travel_Rarely,82,916,23016,6545,13,Very High,Excellent,Very High,Low,High,Better,Yes,0,3,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
349,No,Male,Between 25 to 31,College,Marketing,Divorced,Sales,Sales Executive,2,20 - 30 km,Travel_Rarely,45,1247,10732,6931,14,High,Excellent,Very High,Very High,Very High,Better,No,1,2,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
350,No,Female,Between 25 to 31,Bachelor,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,62,685,7505,4898,12,High,Excellent,Low,High,Very High,Better,No,2,0,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
351,No,Female,Between 39 to 44,Bachelor,Medical,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,56,269,8007,2593,11,Medium,Excellent,Very High,Low,High,Better,Yes,1,0,0 - 10 years,4,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
352,No,Male,Between 39 to 44,College,Medical,Divorced,Research & Development,Research Director,5,1 - 9 km,Travel_Rarely,49,1416,5949,19436,19,High,Excellent,Low,High,Very High,Better,No,1,0,21 - 30 years,5,21 - 30 years,6 - 10 years,0 - 5 years,6 - 10 years
353,No,Male,Between 45 to 51,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,96,833,23231,2723,11,High,Excellent,High,Very High,Medium,Good,No,0,1,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
355,Yes,Male,Between 25 to 31,College,Medical,Single,Research & Development,Laboratory Technician,1,20 - 30 km,Travel_Frequently,71,307,11652,3479,11,Medium,Excellent,High,Medium,Medium,Best,No,0,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
359,No,Male,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Frequently,100,1311,26062,2794,20,Very High,Outstanding,Medium,Medium,High,Bad,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
361,No,Male,Between 32 to 38,College,Life Sciences,Married,Sales,Sales Executive,2,1 - 9 km,Non-Travel,39,1327,19682,5249,18,Medium,Excellent,Very High,Very High,Very High,Better,No,1,3,11 - 20 years,0,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
362,No,Male,Between 32 to 38,Below college,Technical Degree,Single,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Rarely,84,128,19737,2176,13,Medium,Excellent,Very High,Low,Very High,Better,No,0,4,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
363,No,Female,Between 45 to 51,Bachelor,Technical Degree,Married,Sales,Manager,4,1 - 9 km,Travel_Rarely,75,488,14977,16872,12,Low,Excellent,High,Medium,Medium,Good,Yes,1,3,21 - 30 years,2,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
364,Yes,Male,Between 25 to 31,Master,Life Sciences,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,79,529,14935,3485,11,High,Excellent,Low,High,High,Bad,No,0,2,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
366,No,Male,Between 25 to 31,Bachelor,Medical,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,78,1210,3687,6644,19,Medium,Excellent,Low,Medium,Medium,Better,No,2,2,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
367,No,Male,Between 25 to 31,Bachelor,Medical,Married,Research & Development,Healthcare Representative,2,20 - 30 km,Travel_Rarely,64,1463,14408,5582,21,Medium,Outstanding,Medium,Very High,Medium,Better,No,1,0,0 - 10 years,2,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
369,No,Male,Between 25 to 31,College,Life Sciences,Divorced,Research & Development,Healthcare Representative,2,1 - 9 km,Non-Travel,85,675,18384,4000,12,Very High,Excellent,Medium,Low,Very High,Better,No,2,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
372,No,Male,Between 45 to 51,College,Medical,Married,Research & Development,Healthcare Representative,4,20 - 30 km,Travel_Rarely,79,1385,7501,13496,14,High,Excellent,High,Very High,Medium,Better,Yes,0,0,21 - 30 years,2,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
373,No,Male,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,47,1403,20251,3210,11,High,Excellent,Very High,Very High,High,Better,No,1,0,11 - 20 years,4,11 - 20 years,11 - 15 years,6 - 10 years,11 - 15 years
374,No,Male,52 and more than 52,Bachelor,Medical,Single,Research & Development,Manager,5,1 - 9 km,Travel_Rarely,81,452,18938,19045,14,High,Excellent,Very High,Low,High,Better,Yes,0,0,More than 31 years,2,More than 31 years,6 - 10 years,0 - 5 years,11 - 15 years
376,Yes,Male,Between 45 to 51,Master,Life Sciences,Married,Research & Development,Manager,3,20 - 30 km,Non-Travel,88,666,10268,11849,12,High,Excellent,Low,Medium,Very High,Good,Yes,1,1,0 - 10 years,2,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
377,No,Male,Between 25 to 31,Bachelor,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,94,1158,2613,2070,23,High,Outstanding,Very High,Very High,Very High,Good,No,1,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
378,No,Male,Between 32 to 38,Master,Medical,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,98,228,22825,6502,14,High,Excellent,High,Very High,Medium,Best,No,1,4,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
379,No,Male,Between 18 to 24,College,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,100,996,10531,3230,17,Medium,Excellent,Very High,High,Low,Best,No,0,1,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
380,No,Female,Between 32 to 38,Master,Medical,Divorced,Research & Development,Research Director,3,1 - 9 km,Non-Travel,80,728,11677,13603,18,High,Excellent,Low,Very High,Low,Better,Yes,2,2,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
381,No,Female,Between 32 to 38,Bachelor,Life Sciences,Divorced,Research & Development,Manager,3,20 - 30 km,Travel_Rarely,71,1315,19100,11996,18,Very High,Excellent,Medium,Medium,Medium,Good,No,1,7,0 - 10 years,6,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
382,No,Female,Between 32 to 38,College,Medical,Divorced,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,44,322,19191,5605,24,Very High,Outstanding,Low,Low,High,Better,Yes,1,1,0 - 10 years,3,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
384,No,Female,Between 25 to 31,Bachelor,Life Sciences,Divorced,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Frequently,84,1479,26767,6397,20,High,Outstanding,High,Medium,Low,Bad,No,1,1,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
385,No,Male,Between 45 to 51,Below college,Life Sciences,Divorced,Research & Development,Research Director,5,1 - 9 km,Travel_Rarely,96,797,15815,19144,14,High,Excellent,Low,Medium,Low,Good,No,2,3,21 - 30 years,4,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
386,No,Male,52 and more than 52,Master,Medical,Married,Research & Development,Research Director,4,1 - 9 km,Travel_Rarely,45,1070,21016,17584,16,High,Excellent,High,High,Very High,Good,Yes,3,3,21 - 30 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
387,No,Male,Between 39 to 44,Below college,Life Sciences,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,99,635,24532,4907,25,High,Outstanding,Medium,High,High,Better,No,0,1,11 - 20 years,3,11 - 20 years,16 - 20 years,11 - 15 Years,6 - 10 years
388,No,Male,Between 25 to 31,College,Life Sciences,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Frequently,44,442,20260,4554,18,High,Excellent,Medium,Very High,Low,Good,No,0,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
389,No,Male,52 and more than 52,College,Technical Degree,Married,Research & Development,Laboratory Technician,2,20 - 30 km,Travel_Rarely,37,147,15972,5415,19,High,Excellent,Medium,Very High,Very High,Better,Yes,1,3,11 - 20 years,4,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
390,No,Male,Between 25 to 31,College,Medical,Married,Research & Development,Healthcare Representative,2,10 - 19 km,Travel_Frequently,60,496,22722,4741,13,High,Excellent,Low,Low,High,Better,Yes,1,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
391,No,Female,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,42,1372,15881,2115,12,High,Excellent,Very High,Very High,Medium,Better,No,0,1,11 - 20 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
